job_id,title,company,location,salary_raw,jd_raw,source,jd_text,salary_min,salary_max,salary_currency,skills
indeed_2_29,Data and Artificial Intelligence Architect,West Kowloon Cultural District Authority,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_33,R&D Software Engineer (5 days work),Asia Vision,"Kowloon Bay, Kowloon",,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_4,Artificial Intelligence ( AI ) Developer / Machine Learning ( ML ) Engineer,Acton Consulting Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_17,Senior Software Developer/Software Developer (at the rank of IT Officer/IT Technician) (2 posts),The University of Hong Kong,Hong Kong,,合約有薪年假,indeed,合約有薪年假,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_21,"Contract Analyst Programmer - Java, mobile, JavaScript, SSADM (C36727) (Ref 57278-4)",InfoTech Services (Hong Kong) Limited,Hong Kong,,合約,indeed,合約,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_25,Analyst Programmer / Programmer – Decision Support Services,Tradelink Technologies Ltd,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_29,System Analyst(.Net),Besway Asia Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_33,Frontend Developer (Hong Kong/ Malaysia),Pantheon Lab,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_37,AI Consultant Summer Intern,Techbob Academy Limited,"Kwun Tong, Kowloon","月薪 $11,490","月薪 $11,490實習在職專業培訓",indeed,"月薪 11,490實習在職專業培訓",,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_41,Product Manager (AI Product),nahc.io,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_0,Machine Learning Engineer,Tower Research Capital,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_4,AI / Machine Learning Engineer,Tai Wo Management Limited,Kowloon,"月薪 $32,000 - $38,000","月薪 $32,000 - $38,000全職",indeed,"月薪 32,000 - 38,000全職",32000.0,38000.0,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_12,Machine Learning Engineer,Wizpresso,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_33,Software Engineer (Machine Learning),nahc.io,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_4,Data Scientist or Data Engineer or Data Developer - 2 Openings,Acton Consulting Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_0_16,"Data Scientist, NLP & Trading Strategies (Quantitative)",Binance,Remote,,全職在家工作,indeed,全職在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_17,Data Scientist Lead - LLM (Chatbot),Binance,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_21,"Senior Data Scientist (Content, Feeds, Recommendation)",Binance,Remote,,全職在家工作,indeed,全職在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_25,Data Scientist,Classy Wheeler,"Sha Tin, New Territories","月薪 $25,000 - $35,000","月薪 $25,000 - $35,000",indeed,"月薪 25,000 - 35,000",25000.0,35000.0,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_33,"Senior Data Scientist, Editorial & Content",South China Morning Post,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_34,Pioneer Talent Program - Applied Data Scientist,Binance,Remote,,全職在家工作,indeed,全職在家工作,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_38,"Senior Manager, Data Scientist (172698)",Shangri-La Hotels,Hong Kong,,長工,indeed,長工,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_42,Data Scientist,ubiZense,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_46,Data Scientist,LRQA group,Hong Kong,,,indeed,,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
